,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
25.,"IBERMATICA, SA",A20038915,DONOSTIA/SAN SEBASTIAN,-1.984185,43.287434,31/12/2019,"3,027",25,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"Consultoría TIC, servicios de infraestructuras, integración de sistemas de información, outsourcing e implantación de soluciones integradas de gestión empresaria","226,347,437",n.d.,"226,347,437","226,700,339","218,600,857","218,618,773","208,432,040","202,269,453","205,780,414","215,233,933","219,120,997","209,820,170","5,790,198",n.d.,"5,790,198","4,998,104","7,761,725","7,782,111","11,422,553","8,553,259","5,163,680","4,283,844","4,536,182","8,562,363",4.25,n.d.,4.25,4.06,6.35,6.23,6.19,5.14,3.33,4.12,4.51,4.70,17.35,n.d.,17.35,10.18,16.74,15.25,15.48,13.30,8.92,8.69,10.16,10.13,1.47,n.d.,1.47,1.31,1.32,1.44,1.43,1.51,1.40,1.55,1.40,1.38,75.52,n.d.,75.52,60.07,62.09,59.17,60.04,61.38,62.69,52.63,55.57,53.62,"3,027",n.d.,"3,027","2,914","2,742","3,136","2,670","2,615","2,701","2,766","2,740","2,831","1,063",n.d.,"1,063","1,026",991,"1,004","1,000",945,993,983,"1,030",n.d.,"2,099",n.d.,"2,099","2,019","1,842","1,822","1,788","1,724","1,752","1,798","1,825",n.d.
26.,ALTRAN INNOVACION SOCIEDAD LIMITADA,B80428972,BARCELONA,2.19940873,41.40089774,31/12/2018,"2,406",400,6202,Actividades de consultoría informática,Servicios de ingeniería,"224,536,000",n.d.,n.d.,"224,536,000",n.d.,"192,537,000","167,002,000","152,890,000","143,477,000","132,645,000","121,246,000","13,266,000","9,771,000",n.d.,n.d.,"9,771,000",n.d.,"9,240,000","9,472,000","4,646,000","2,931,000","7,017,000","6,012,000","8,103,000",4.00,n.d.,n.d.,4.00,n.d.,7.34,7.38,4.62,0.50,6.40,6.53,8.78,10.86,n.d.,n.d.,10.86,n.d.,18.71,20.76,15.96,1.93,27.35,31.14,34.81,1.70,n.d.,n.d.,1.70,n.d.,2.14,1.89,1.54,1.37,1.36,0.54,0.10,63.18,n.d.,n.d.,63.18,n.d.,60.76,64.43,71.07,73.87,76.59,79.03,74.77,"3,920",n.d.,n.d.,"3,920",n.d.,"3,393","2,841","2,480","2,406","2,189","2,072",91,"1,173",n.d.,n.d.,"1,173",n.d.,"1,013",896,796,766,718,645,78,"2,747",n.d.,n.d.,"2,747",n.d.,"2,204","1,945","1,695","1,691","1,558","1,445",19
27.,KPMG ASESORES SL,B82498650,MADRID,-3.68719277,40.47559487,30/09/2019,"1,395",14,7022,Otras actividades de consultoría de gestión empresarial,"Servicios de auditoría, fiscales y de asesoramiento legal, financiero y de negocio.","222,683,000",n.d.,"222,683,000","215,901,000","194,472,000","189,901,000","165,908,000","153,606,000","114,780,000","109,703,000","102,806,000","94,956,000","22,000",n.d.,"22,000","17,000","17,000","15,000","14,000","25,000","9,000","55,000","1,000",n.d.,0.11,n.d.,0.11,0.06,0.10,0.09,0.04,0.04,0.01,0.32,0.00,0.00,4.76,n.d.,4.76,2.61,4.20,3.40,1.69,21.67,4.21,137.21,3.23,3.33,1.01,n.d.,1.01,0.98,0.97,0.99,1.01,1.03,1.04,1.06,1.04,1.05,97.74,n.d.,97.74,97.85,97.60,97.33,97.36,99.82,99.80,99.77,99.93,99.92,"1,395",n.d.,"1,395","1,306","1,182","1,043",881,768,673,669,648,546,520,n.d.,520,n.d.,430,370,346,302,279,258,264,218,934,n.d.,934,n.d.,821,735,635,505,434,391,436,392
28.,ATOS IT SOLUTIONS AND SERVICES IBERIA SL.,B85908093,TRES CANTOS,-3.7172058,40.59954135,31/12/2019,"2,203",358,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"La prestacion a toda clase de empresas y entidades, de servicios tecnicos, de consultoria, de organizacion, asesoramiento, administracion, arrendamiento, comercio, estudio, investigacion, desarrollo y comercializacion de productos y servicios informaticos y de telecomunicaciones.","218,490,000",n.d.,"218,490,000","203,958,000","192,755,000","181,255,000","98,550,000","51,322,000","38,043,000","43,637,000","14,743,000","16,097,871","-387,000",n.d.,"-387,000","191,000","7,321,000","10,165,000","3,507,000","950,000","461,000","3,261,000","2,335,000","429,342",2.46,n.d.,2.46,0.28,7.32,4.65,3.36,4.77,2.90,13.97,9.07,2.18,4.93,n.d.,4.93,0.68,16.31,9.89,7.45,36.22,20.59,150.67,322.36,14.29,1.58,n.d.,1.58,1.54,0.68,2.02,0.53,0.64,1.89,0.72,1.43,1.08,50.02,n.d.,50.02,58.82,55.16,53.05,54.86,86.82,85.91,90.73,97.19,84.74,"2,203",n.d.,"2,203","2,032","1,936","1,897",941,184,171,189,217,266,614,n.d.,614,599,551,541,346,53,41,48,57,76,"1,597",n.d.,"1,597","1,445","1,379","1,327",667,154,125,132,172,188
29.,EDP RENEWABLES EUROPE SL,B74137100,OVIEDO,-5.852708,43.357641,31/12/2019,153,681,7022,Otras actividades de consultoría de gestión empresarial,"LA OPERACION DE INSTALACIONES DE PRODUCCION DE ENERGIA ELECTRICA, Y EN PARTICULAR LAS DE REGIMEN ESPECIAL, CON UN ENFOQUE PARTICULAR EN EL DESARROLLO Y OPERACION DE PARQUES EOLICOS. LA PROMOCION Y DESARROLLO DE TODA CLAS","210,109,000",n.d.,"210,109,000","169,018,000","224,158,000","154,983,000","136,035,000","114,865,000","98,428,000","173,724,000","39,041,000","58,923,000","336,704,000",n.d.,"336,704,000","94,155,000","123,841,000","191,031,000","88,606,000","24,315,000","277,569,000","95,602,000","-30,623,000","-20,674,000",12.41,n.d.,12.41,2.24,3.56,5.62,2.12,0.65,9.28,1.49,-1.29,-0.75,12.99,n.d.,12.99,2.78,4.27,7.04,3.35,0.86,11.89,32.91,-49.45,-23.74,4.87,n.d.,4.87,3.35,0.21,0.11,0.15,3.44,8.95,2.75,3.11,3.78,4.50,n.d.,4.50,19.51,16.69,20.15,36.61,24.49,21.92,95.48,97.39,96.86,153,n.d.,153,163,158,157,157,151,155,140,118,106,32,n.d.,32,39,39,35,36,34,32,33,26,26,121,n.d.,121,129,125,122,121,122,121,107,92,85
30.,SOPRA STERIA ESPAÑA SA.,A79329108,MADRID,-3.6631651,40.48758219,31/12/2019,"4,200",151,6202,Actividades de consultoría informática,"Consultoria, servicios tecnológicos y software.","208,154,832",n.d.,"208,154,832","190,101,469","169,980,741","154,600,363","139,446,773","117,989,803","93,381,804","73,481,697","69,074,534","65,964,725","4,292,141",n.d.,"4,292,141","11,010,617","7,020,598","3,036,904","3,071,654","4,227,475","2,559,948","2,881,431","3,360,376","1,905,022",5.43,n.d.,5.43,12.42,8.69,3.73,4.01,6.59,4.54,5.66,6.47,3.13,7.83,n.d.,7.83,17.54,12.32,5.17,5.81,9.32,5.93,7.18,8.39,3.97,2.63,n.d.,2.63,2.78,2.71,2.82,2.53,2.75,3.39,3.76,3.45,3.72,30.59,n.d.,30.59,29.18,29.45,27.72,31.09,29.38,23.39,21.18,22.84,21.06,"3,452",n.d.,"3,452","3,324","2,979","2,733","2,430","2,429","1,880","1,222","1,041","1,272",988,n.d.,988,"1,057",974,824,750,696,617,415,380,369,"2,572",n.d.,"2,572","2,608","2,327","2,029","1,823","1,616","1,451",914,859,874
31.,MAPFRE TECH SA.,A82178468,MAJADAHONDA,-3.859793,40.450049,31/12/2019,409,404,6202,Actividades de consultoría informática,Prestación de servicios informáticos,"190,123,097",n.d.,"190,123,097","179,666,699","177,896,542","221,253,769","260,314,296","239,497,416","227,841,777","255,016,219","29,048,842","22,839,516","-2,531,129",n.d.,"-2,531,129","726,165","-1,775,984","73,203","108,924","84,306","18,475","67,420","117,348","115,388",-5.19,n.d.,-5.19,0.87,-4.50,-0.64,0.13,-0.88,-0.23,-0.04,-1.64,-0.61,-21.03,n.d.,-21.03,2.73,-15.02,-1.94,8.18,-26.62,-5.86,-0.62,-7.67,-2.82,0.81,n.d.,0.81,1.25,1.44,1.52,0.92,0.84,0.73,0.86,0.75,1.14,75.33,n.d.,75.33,68.00,70.05,66.90,98.39,96.68,96.10,92.87,78.61,78.30,409,n.d.,409,455,506,623,779,742,703,696,106,31,n.d.,n.d.,n.d.,141,154,n.d.,255,246,234,229,42,38,n.d.,n.d.,n.d.,277,355,n.d.,531,496,472,466,73,68
32.,MCKINSEY & COMPANY S.L.,B28447431,MADRID,-3.69688539,40.42801484,31/12/2018,350,57,7022,Otras actividades de consultoría de gestión empresarial,Servicios de consultoría,"184,196,590",n.d.,n.d.,"184,196,590","179,913,000","123,149,280","141,088,220","114,775,640","96,302,410","98,343,390","98,117,160","102,177,680","-2,142,240",n.d.,n.d.,"-2,142,240","-9,078,000","-7,875,868","3,090,400","4,684,510","2,619,860","6,845,040","10,607,820","7,783,040",-1.09,n.d.,n.d.,-1.09,-6.86,-7.16,4.42,5.21,2.45,9.72,9.56,7.47,-7.18,n.d.,n.d.,-7.18,-177.82,981.60,37.61,9.12,5.45,14.74,22.08,19.71,1.14,n.d.,n.d.,1.14,1.02,0.96,1.12,2.73,1.97,3.88,1.90,1.70,84.86,n.d.,n.d.,84.86,96.14,100.73,88.24,42.86,55.06,34.02,56.73,62.11,350,n.d.,n.d.,350,299,247,227,222,206,224,214,205,105,n.d.,n.d.,105,117,96,n.d.,71,73,83,81,74,224,n.d.,n.d.,224,182,191,n.d.,151,133,141,133,120
33.,PRICEWATERHOUSECOOPERS ASESORES DE NEGOCIOS SL,B78016375,MADRID,-3.68719277,40.47559487,30/06/2019,903,,7022,Otras actividades de consultoría de gestión empresarial,Prestación de servicios de consultoría,"184,101,702",n.d.,"184,101,702","156,604,966","164,417,480","197,344,233","153,128,314","145,169,617","146,139,442","133,958,840","126,293,305","117,347,475","6,546,524",n.d.,"6,546,524","8,431,258","-8,267,343","8,436,202","20,621,715","7,118,939","7,525,923","884,524","2,202,041","16,020,743",5.65,n.d.,5.65,9.95,-3.90,9.71,19.37,8.17,10.51,1.23,3.21,26.00,57.38,n.d.,57.38,56.90,-26.83,35.29,126.13,90.63,87.27,14.46,29.13,128.90,1.11,n.d.,1.11,1.21,1.17,1.37,1.17,1.08,1.11,1.05,1.11,1.25,90.16,n.d.,90.16,82.51,85.46,72.48,84.64,90.99,87.96,91.52,88.99,79.83,903,n.d.,903,859,895,"1,013","1,029",989,"1,012",942,867,786,352,n.d.,352,332,340,665,369,352,362,359,n.d.,306,589,n.d.,589,543,572,655,665,632,660,692,n.d.,586
34.,IFCO SYSTEMS ESPAÑA SOCIEDAD LIMITADA,B96566146,PICASSENT,-0.45106414,39.35615773,30/06/2019,32,155,7022,Otras actividades de consultoría de gestión empresarial,Fabricación de envalajes para productos frescos,"175,774,060",n.d.,"175,774,060","166,177,074","157,814,038","141,083,509","126,570,933","114,948,407","108,015,653","51,163,275","88,752,705","73,478,589","14,098,604",n.d.,"14,098,604","8,778,508","9,356,655","6,634,932","10,694,023","4,723,998","7,205,846","2,998,449","5,007,469","2,481,215",14.15,n.d.,14.15,10.28,12.77,9.23,17.16,8.39,13.79,5.54,7.88,4.35,28.61,n.d.,28.61,22.84,29.71,18.90,36.22,21.44,38.47,21.88,43.30,30.52,5.99,n.d.,5.99,3.58,3.10,2.29,3.47,3.18,3.28,3.02,1.06,1.05,50.54,n.d.,50.54,55.00,57.03,51.17,52.61,60.86,64.14,74.67,81.81,85.74,33,n.d.,33,32,33,33,32,35,36,31,29,28,17,n.d.,17,17,n.d.,n.d.,n.d.,16,17,15,13,13,18,n.d.,18,19,n.d.,n.d.,n.d.,19,16,16,751,16
35.,PRODIGIOS INTERACTIVOS SA,A07995434,PALMA,2.66651913,39.60668525,31/12/2019,458,148,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Consulta y asesoramiento y gestión empresarial especializados en hostelería.,"164,347,416",n.d.,"164,347,416","150,658,440","139,259,232","109,852,335","90,896,089","75,579,870","66,995,658","65,483,899","66,955,827","60,374,850","14,143,066",n.d.,"14,143,066","11,181,974","20,413,217","734,002","-4,539,164","2,891,500","-11,273,351","1,219,430","-2,296,046","36,712",11.49,n.d.,11.49,10.07,15.72,0.69,-4.99,5.70,-2.16,1.19,-2.39,0.67,21.32,n.d.,21.32,18.20,29.52,1.51,-10.40,10.17,-4.05,1.89,-3.52,2.74,2.34,n.d.,2.34,2.12,1.85,1.16,1.13,1.37,1.40,1.93,1.97,1.79,46.14,n.d.,46.14,44.67,46.76,54.26,52.03,43.89,46.63,37.15,32.17,75.64,458,n.d.,458,154,161,147,132,117,175,214,219,207,n.d.,n.d.,n.d.,n.d.,64,67,73,61,91,101,111,108,n.d.,n.d.,n.d.,n.d.,89,81,80,58,71,106,116,110
36.,TELEFONICA GLOBAL TECHNOLOGY SAU,A82261231,MADRID,-3.70196673,40.42015292,31/12/2019,486,279,6209,Otros servicios relacionados con las tecnologías de la información y la informática,"LA PRESTACION DE SERVICIOS GLOBALES RELACIONADOS DIRECTA O INDIRECTAMENTE CON LAS TECNOLOGIAS DE LA INFORMACION Y CON EL REDISEÑO DE PROCESOS INFORMATICOS, INCLUYENDO TODOS LOS RELATIVOS AL HARDWARE, SOFTWARE Y A LAS REDES DE COMUNICACION EN GENERAL Y SU GESTION.","163,461,000",n.d.,"163,461,000","161,143,000","174,508,000","216,637,000","272,368,000","272,800,000","210,936,000","204,206,000","102,277,000","35,548,000","11,815,000",n.d.,"11,815,000","6,166,000","-30,794,000","7,455,000","2,226,000","1,400,000","-7,314,000","-2,985,000","-4,569,000","-16,000",7.00,n.d.,7.00,4.78,-16.68,2.66,0.54,1.33,-1.42,-0.03,-1.33,0.71,9.95,n.d.,9.95,7.43,-27.62,4.77,2.26,5.95,-6.24,-0.16,-6.47,6.49,2.45,n.d.,2.45,1.89,1.72,1.16,0.86,0.88,0.97,0.77,0.53,0.64,29.64,n.d.,29.64,35.64,39.63,44.24,75.96,77.69,77.20,80.71,79.42,89.04,486,n.d.,486,429,657,729,829,808,856,"1,016",663,206,124,n.d.,124,116,119,189,619,204,186,231,163,52,362,n.d.,362,313,319,511,210,601,670,810,500,154
37.,FUTURA CARBONO SL,B85221612,MADRID,-3.65604159,40.44854781,31/12/2018,2,456,7022,Otras actividades de consultoría de gestión empresarial,Compra venta de derechos de emisión de gases de efecto invernadero.,"163,082,354",n.d.,n.d.,"163,082,354","29,912,915","15,523,318","8,631,469","799,054","1,500",n.d.,n.d.,n.d.,"154,525",n.d.,n.d.,"154,525","192,615","165,383","84,569","25,499","-13,757",n.d.,n.d.,n.d.,2.00,n.d.,n.d.,2.00,4.47,4.63,2.28,13.44,-71.81,n.d.,n.d.,n.d.,64.68,n.d.,n.d.,64.68,67.48,45.33,37.57,21.88,-158.77,n.d.,n.d.,n.d.,1.04,n.d.,n.d.,1.04,1.24,1.17,1.04,1.70,0.86,n.d.,n.d.,n.d.,96.90,n.d.,n.d.,96.90,93.37,89.79,93.93,38.57,54.77,n.d.,n.d.,n.d.,2,n.d.,n.d.,2,2,6,3,n.d.,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1,4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
38.,DEPAU SISTEMAS SL,B30701924,CARTAGENA,-0.927868,37.650143,31/12/2019,105,2,6202,Actividades de consultoría informática,"Proveedor mayorista de informática, telefonía móvil, electrodomésticos, mobiliario de oficina.","157,056,510",n.d.,"157,056,510","132,898,918","108,130,976","95,488,923","75,123,058","57,556,897","53,256,782","45,130,857","55,510,874","56,218,958","1,317,307",n.d.,"1,317,307","1,039,394","663,248","498,116","368,099","145,450","116,708","80,493","88,008","293,212",3.68,n.d.,3.68,3.88,2.90,2.39,1.93,1.06,0.99,0.64,0.81,2.39,26.05,n.d.,26.05,25.61,20.37,18.39,16.38,7.52,6.37,4.72,7.03,17.95,1.03,n.d.,1.03,1.03,1.02,0.98,1.00,0.98,0.97,0.95,0.98,0.98,85.89,n.d.,85.89,84.85,85.78,87.02,88.24,85.95,84.43,86.44,88.49,86.68,134,n.d.,134,105,95,88,67,54,53,65,71,69,n.d.,n.d.,n.d.,n.d.,n.d.,27,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,69,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
39.,BANKINTER GLOBAL SERVICES SA.,A85982411,TRES CANTOS,-3.7100195,40.61628959,31/12/2019,657,34,7022,Otras actividades de consultoría de gestión empresarial,Prestación de servicios tecnológicos al grupo Bankinter,"155,013,000",n.d.,"155,013,000","132,445,000","128,845,000","128,173,000","123,181,000","112,703,000","112,183,000","114,666,000","112,058,000","29,421,000","8,662,000",n.d.,"8,662,000","4,985,000","8,395,000","-4,931,000","11,775,000","7,835,000","13,282,000","13,993,000","2,898,000","474,000",6.10,n.d.,6.10,4.00,12.56,-10.07,18.30,11.55,21.42,23.74,3.53,0.77,17.10,n.d.,17.10,8.72,18.56,-13.79,21.98,16.99,32.70,40.00,9.30,2.22,0.21,n.d.,0.21,0.31,0.70,1.14,1.96,2.27,1.64,1.40,2.00,0.82,64.36,n.d.,64.36,54.18,32.33,27.00,16.76,32.00,34.48,40.64,62.09,65.56,657,n.d.,657,645,639,577,517,477,471,488,562,618,285,n.d.,285,289,284,274,243,219,220,225,261,279,372,n.d.,372,366,354,303,274,259,253,255,301,336
40.,GFT IT CONSULTING SL,B63043251,SANT CUGAT DEL VALLES,2.077746,41.485962,31/12/2019,"1,848",35,6202,Actividades de consultoría informática,Consulta de equipo informático y desarrollo de software.,"144,650,152",n.d.,"144,650,152","153,483,336","157,551,776","151,109,442","117,357,990","95,791,765","76,241,914","62,141,262","56,209,685","61,010,476","10,158,053",n.d.,"10,158,053","12,418,877","13,639,617","15,308,063","14,939,361","8,787,444","4,851,900","4,016,202","2,930,647","3,116,188",26.65,n.d.,26.65,22.81,31.08,38.51,40.75,45.07,21.59,23.32,15.78,26.60,87.07,n.d.,87.07,49.14,63.76,92.90,90.60,115.26,65.62,64.08,39.94,61.08,1.17,n.d.,1.17,1.48,1.50,1.41,1.32,1.29,1.35,1.45,1.52,1.60,69.39,n.d.,69.39,53.59,51.26,58.55,55.02,60.90,67.10,63.61,60.48,56.45,"1,848",n.d.,"1,848","1,970","2,098","1,899","1,525","1,329","1,024",854,818,788,505,n.d.,505,n.d.,n.d.,n.d.,473,386,n.d.,298,277,250,"1,354",n.d.,"1,354",n.d.,n.d.,n.d.,"1,156",955,n.d.,591,540,484
41.,GESTAMP SERVICIOS SA,A82275330,MADRID,-3.6891111,40.41760749,31/12/2018,539,520,7022,Otras actividades de consultoría de gestión empresarial,Consulta y asesoramiento sobre dirección y gestión empresarial.,"142,680,646",n.d.,n.d.,"142,680,646","141,219,193","135,421,309","130,395,213","114,924,567","116,454,048","109,721,776","254,031,865","146,198,888","47,818,658",n.d.,n.d.,"47,818,658","-6,101,714","54,063,492","32,051,434","11,757,036","-14,661,492","-2,809,202","23,455,792","20,308,833",4.35,n.d.,n.d.,4.35,-0.34,6.76,4.87,2.41,-2.47,-0.17,4.13,3.54,31.12,n.d.,n.d.,31.12,-2.47,35.43,26.99,17.99,-20.82,-1.15,27.09,28.28,0.54,n.d.,n.d.,0.54,0.54,0.62,0.72,0.48,0.68,0.59,0.48,0.65,86.03,n.d.,n.d.,86.03,86.22,80.93,81.95,86.61,88.12,85.49,84.76,87.48,539,n.d.,n.d.,539,469,423,351,321,335,267,299,259,197,n.d.,n.d.,197,187,162,138,127,125,112,97,n.d.,351,n.d.,n.d.,351,311,261,202,186,166,155,173,n.d.
42.,THE BOSTON CONSULTING GROUP SL,B78487824,MADRID,-3.68395705,40.42124173,31/12/2019,479,48,7022,Otras actividades de consultoría de gestión empresarial,PRESTACION DE SERVICIOS DE CONSULTORIA.,"137,917,112",n.d.,"137,917,112","111,404,630","101,357,973","83,646,797","78,487,858","59,705,761","60,977,523","57,563,090","61,643,868","63,349,082","13,833,949",n.d.,"13,833,949","10,771,123","11,948,569","9,422,541","6,242,173","3,338,569","2,356,556","3,887,377","1,468,149","5,242,222",17.79,n.d.,17.79,16.17,21.01,19.20,16.79,12.53,9.94,17.76,4.93,18.51,22.49,n.d.,22.49,21.00,27.96,28.14,24.92,17.49,13.51,24.66,7.34,27.52,4.11,n.d.,4.11,4.07,3.88,3.04,2.91,3.82,3.49,3.29,2.84,2.84,20.88,n.d.,20.88,23.01,24.85,31.79,32.63,28.34,26.41,28.00,32.87,32.75,479,n.d.,479,342,289,238,222,190,208,209,206,201,226,n.d.,226,154,133,105,92,86,95,93,90,81,309,n.d.,309,226,186,154,136,112,106,120,123,113
